,Descripción de productos,Unidad de Medida,Cantidad Mensual de Consenso,Precios,Córdobas,Fecha
0,Arroz ,Libra,38,18.78,713.6400000000001,2024-01-01
1,Frijol ,Libra,34,34.95,1188.3000000000002,2024-01-01
2,Azúcar ,Libra,30,15.34,460.2,2024-01-01
3,Aceite ,Litro,7,57.72,404.03999999999996,2024-01-01
4,Posta de res,Libra,8,150.92,1207.36,2024-01-01
5,Posta de cerdo,Libra,5,90.38,451.9,2024-01-01
6,Carne de aves,Libra,8,60.28,482.24,2024-01-01
7,Chuleta de pescado,Libra,9,97.48,877.32,2024-01-01
8,Leche ,Litro,30,39.63,1188.9,2024-01-01
9,Huevos,Docena,7,72.97,510.78999999999996,2024-01-01
10,Queso seco,Libra,9,132.91,1196.19,2024-01-01
11,Tortilla ,Libra,57,24.15,1376.55,2024-01-01
12,Pinolillo,Libra,10,37.58,375.79999999999995,2024-01-01
13,Pastas alimenticias  ,Libra,5,45.5,227.5,2024-01-01
14,Pan ,Libra,27,32.21,869.6700000000001,2024-01-01
15,Tomate de cocinar,Libra,14,30.25,423.5,2024-01-01
16,Cebolla blanca,Libra,8,43.82,350.56,2024-01-01
17,Papas,Libra,15,40.97,614.55,2024-01-01
18,Ayote,Libra,32,9.84,314.88,2024-01-01
19,Chiltoma ,Libra,3,48.22,144.66,2024-01-01
20,Plátano verde,Libra,16,17.55,280.8,2024-01-01
21,Naranja ,Libra,46,10.51,483.46,2024-01-01
22,Repollo,Libra,2,15.43,30.86,2024-01-01
23,Jabón de lavar ropa,Unidad,12.55,27.11,340.2305,2024-01-01
24,Detergente en polvo,Bolsita de 40 gramos ,27.97,3.641115019541934,101.84198709658789,2024-01-01
25,Pasta dental,Unidad de 115 grs ,2.13,44.78,95.3814,2024-01-01
26,Fósforos,Cajita de 40 cerillos,10.87,2.72,29.5664,2024-01-01
27,Escoba ,Unidad,1.22,78.72,96.0384,2024-01-01
28,Papel higiénico,Rollos,10.71,20.99,224.8029,2024-01-01
29,Jabón de baño,Unidad,4.67,16.91,78.9697,2024-01-01
30,Toallas sanitarias ,Bolsa de 10 unid,2.21,28.19,62.2999,2024-01-01
31,Desodorante nacional,Unidad,1.9,56.68,107.692,2024-01-01
32,Cepillo dental,Unidad,2.49,20.08,49.9992,2024-01-01
33,Alquiler,Valor (C$) mensual,1,900,900,2024-01-01
34,Gas butano , 25 libras,1,436,436,2024-01-01
35,Luz eléctrica,KWH,100,3.2454565000000004,324.54565,2024-01-01
36,Agua,Galones,5292,0.0311988117200302,165.1041116223998,2024-01-01
37,Transporte ,Pasaje,240,2.5,600,2024-01-01
38, Pantalón largo de tela de jeans,Unidad,0.6212901011518968,503.87,313.0494432674062,2024-01-01
39, Camisa manga corta ,Unidad,0.6600037006796985,167.83,110.76842108507381,2024-01-01
40, Calzoncillos,Unidad,1.56501893310219,61.67,96.51471760441206,2024-01-01
